epoch,split,class_index,class_name,precision,recall,f1,support
3,val,36,Tomato___Tomato_mosaic_virus,0.981481,0.946429,0.963636,56
3,val,37,Tomato___healthy,0.908730,0.962185,0.934694,238
4,val,0,Apple___Apple_scab,0.988095,0.873684,0.927374,95
4,val,1,Apple___Black_rot,0.989011,0.967742,0.978261,93
4,val,2,Apple___Cedar_apple_rust,1.000000,1.000000,1.000000,41
4,val,3,Apple___healthy,0.938462,0.991870,0.964427,246
4,val,4,Blueberry___healthy,1.000000,0.995556,0.997773,225
4,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.968354,0.983923,158
4,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
4,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.951220,0.506494,0.661017,77
4,val,8,Corn_(maize)___Common_rust_,0.994413,0.994413,0.994413,179
4,val,9,Corn_(maize)___Northern_Leaf_Blight,0.788043,0.979730,0.873494,148
4,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
4,val,11,Grape___Black_rot,0.994318,0.988701,0.991501,177
4,val,12,Grape___Esca_(Black_Measles),0.990431,0.995192,0.992806,208
4,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
4,val,14,Grape___healthy,1.000000,0.984375,0.992126,64
4,val,15,Orange___Haunglongbing_(Citrus_greening),0.992788,1.000000,0.996381,826
4,val,16,Peach___Bacterial_spot,0.968927,0.997093,0.982808,344
4,val,17,Peach___healthy,1.000000,0.907407,0.951456,54
4,val,18,"Pepper,_bell___Bacterial_spot",1.000000,0.785235,0.879699,149
4,val,19,"Pepper,_bell___healthy",0.884462,1.000000,0.938689,222
4,val,20,Potato___Early_blight,0.966887,0.973333,0.970100,150
4,val,21,Potato___Late_blight,0.945946,0.933333,0.939597,150
4,val,22,Potato___healthy,0.900000,0.782609,0.837209,23
4,val,23,Raspberry___healthy,1.000000,0.964286,0.981818,56
4,val,24,Soybean___healthy,0.989610,0.998689,0.994129,763
4,val,25,Squash___Powdery_mildew,0.996377,1.000000,0.998185,275
4,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
4,val,27,Strawberry___healthy,1.000000,0.985294,0.992593,68
4,val,28,Tomato___Bacterial_spot,0.861035,0.990596,0.921283,319
4,val,29,Tomato___Early_blight,0.959596,0.633333,0.763052,150
4,val,30,Tomato___Late_blight,0.920139,0.929825,0.924956,285
4,val,31,Tomato___Leaf_Mold,0.976923,0.888112,0.930403,143
4,val,32,Tomato___Septoria_leaf_spot,0.964758,0.823308,0.888438,266
4,val,33,Tomato___Spider_mites Two-spotted_spider_mite,0.791809,0.924303,0.852941,251
4,val,34,Tomato___Target_Spot,0.862637,0.744076,0.798982,211
4,val,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.000000,0.942786,0.970551,804
